code,city,country,lat,lon,Department,Institution,Papers
x, Oak Ridge, USA,35.9312,-84.3101,Materials Science and Technology Division,Oak Ridge National Laboratory,2
x, Beijing, China,39.9869,116.3059,Key Laboratory of Polymer Chemistry and Physics of Ministry of Education,Peking University,1
x, Qingdao, China,36.05,120.021,School of Environmental and Municipal Engineering,Qingdao University of Technology,2
x, Kolkata, India,22.56976981,88.41688551,"Department of Chemical,  Biological and Macromolecular Sciences",S.N. Bose national Centre for Basic Sciences,1
x, Daejeon, Republic of Korea,36.41824323,127.4079697,,Sam Dong Co. Ltd,1
x, Chengtou Town, China,36.6683,117.0208,,Shandong Changze New Material Technology Co.,1
x, Qingdao, China,36.6489,117.029,School of Environmental Science and Engineering,Shandong University,2
x, Shanghai, China,31.3148,121.3827,Shanghai Key Laboratory of High Temperature Superconductors,Shanghai University,2
x, Guangzhou, China,23.1513,113.3447,Institute of Polymer Optoelectronic Materials and Devices,South China University of Technology,2
x, Shenzhen,China,22.600556,113.994722,Shenzhen Institute for Quantum Science and Engineering,Southern University of Science and Technology,1
x, Hong Kong, China,22.6878,114.2099,Department of Chemistry,The Chinese University of Hong Kong,1
x, Edinburgh,U.K.,55.9445,-3.1892,School of Engineering,The University of Edinburgh,2
x, Parkville, Australia,-37.79785251,144.9609755,IHIC,The University of Melbourne,1
x, Tianjin, China,39.0686,117.114,State Key Laboratory of Separation Membranes and Membrane Processes,Tiangong University,1
x, Grenoble, France,45.19239426,5.76737524,CNRS,Universite Grenoble Alpes,1
x, Birmingham, U.K.,52.4506,-1.9306,School of Metallurgy and Materials,University of Birmingham,2
x, Bristol,U.K.,51.4585,-2.6022,School of Electrical  Electronic and Mechanical Engineering,University of Bristol,1
x, Cambridge,U.K.,52.2054,0.1132,Department of Engineering,University of Cambridge,2
x, Prague, Czech Republic,50.1037426,14.38997191,Department of Inorganic Chemistry,University of Chemistry and Technology Prague,1
x, Beijing, China,40.40825247,116.6823323,Beijing National Laboratory for Condensed Matter Physics,University of Chinese Academy of Sciences,2
x, Fribourg, Switzerland,46.8064,7.152,Department of Physics and Fribourg Center for Nanomaterials,University of Fribourg,1
x, Minneapolis,USA,44.974,-93.2277,Center for Magnetic Resonance Research,University of Minnesota,1
x, Canberra ,Australia,-35.29120698,149.1662158,School of Engineering&Information Technology,University of New South Wales,1
x,Callaghan, Australia,-32.8928,151.7042,Global Innovative Center of Advanced Nanomaterials,University of Newcastle,1
x, Donghua, China,31.3148,121.3827,State Key Laboratory for Modification of Chemical Fibers and Polymer Materials and College of Materials Science and Engineering,University of Shanghai,1
x, Tsukuba, Japan,36.1112,140.1007,Graduate School of Pure and Applied Science,University of Tsukuba,1
x, North Wollongong, Australia,-34.4053,150.8778,Institute for Superconducting and Electronic Materials,University of Wollongong,1
x, Chennai, India,12.96989123,79.1568239,Department of Physics,Vellore Institute of Technology (VIT),1
x, Hangzhou, China,30.13449679,120.0806507,Institute of Advanced Technology,Westlake Institute for Advanced Study,2
